name,id,machine_id,downtime_reason_name,end_timestamp,start_timestamp,productivity,classification,duration_seconds,shift,day_of_week,utilisation_category,timestamp
Mill 1,6826f660b88fa58d9a999522,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-08 16:00:00+01:00,2025-05-08 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,THURSDAY,PRODUCTIVE OFFLINE,2025-05-08 06:00:00+01:00
Mill 1,6826f660b88fa58d9a999523,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-12 06:00:00+01:00,2025-05-08 16:00:00+01:00,unproductive,OFFLINE,309600.0,DAY,THURSDAY,UNPRODUCTIVE OFFLINE,2025-05-08 16:00:00+01:00
Mill 1,6826f660b88fa58d9a999524,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-12 16:00:00+01:00,2025-05-12 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,MONDAY,PRODUCTIVE OFFLINE,2025-05-12 06:00:00+01:00
Mill 1,6826f660b88fa58d9a999525,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-12 18:00:00+01:00,2025-05-12 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,MONDAY,UNPRODUCTIVE OFFLINE,2025-05-12 16:00:00+01:00
Mill 1,6826f660b88fa58d9a999526,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-13 06:00:00+01:00,2025-05-12 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE,2025-05-12 18:00:00+01:00
Mill 1,6826f660b88fa58d9a999527,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-13 16:00:00+01:00,2025-05-13 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,TUESDAY,PRODUCTIVE OFFLINE,2025-05-13 06:00:00+01:00
Mill 1,6826f660b88fa58d9a999528,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-13 18:00:00+01:00,2025-05-13 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,TUESDAY,UNPRODUCTIVE OFFLINE,2025-05-13 16:00:00+01:00
Mill 1,6826f660b88fa58d9a999529,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-14 06:00:00+01:00,2025-05-13 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE,2025-05-13 18:00:00+01:00
Mill 1,6826f660b88fa58d9a99952a,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-14 16:00:00+01:00,2025-05-14 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE,2025-05-14 06:00:00+01:00
Mill 1,6826f660b88fa58d9a99952b,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-14 18:00:00+01:00,2025-05-14 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,WEDNESDAY,UNPRODUCTIVE OFFLINE,2025-05-14 16:00:00+01:00
Mill 1,6826f660b88fa58d9a99952c,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-15 06:00:00+01:00,2025-05-14 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE,2025-05-14 18:00:00+01:00
Mill 1,6826f660b88fa58d9a99952d,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-15 16:00:00+01:00,2025-05-15 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,THURSDAY,PRODUCTIVE OFFLINE,2025-05-15 06:00:00+01:00
Mill 1,6826f660b88fa58d9a99952e,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-16 09:23:06.430000+01:00,2025-05-15 16:00:00+01:00,unproductive,OFFLINE,62586.43,DAY,THURSDAY,UNPRODUCTIVE OFFLINE,2025-05-15 16:00:00+01:00
Mill 1,6826f663b88fa58d9a999651,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-19 06:00:00+01:00,2025-05-16 09:23:06.430000+01:00,unproductive,DOWNTIME,247013.57,DAY,FRIDAY,UNPRODUCTIVE DOWNTIME,2025-05-16 09:23:06.430000+01:00
Mill 1,682abaff5d87eb9853ae9913,6809f67ffc54c40ff1b489cf,No Operator,2025-05-19 06:36:05.430000+01:00,2025-05-19 06:00:00+01:00,unproductive,DOWNTIME,2165.43,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 06:00:00+01:00
Mill 1,682ac3815d87eb9853aeabb6,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 06:50:45.430000+01:00,2025-05-19 06:36:05.430000+01:00,productive,UPTIME,880.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 06:36:05.430000+01:00
Mill 1,682ac6dc5d87eb9853aeafae,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 06:57:20.430000+01:00,2025-05-19 06:50:45.430000+01:00,productive,DOWNTIME,395.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 06:50:45.430000+01:00
Mill 1,682ac8785d87eb9853aeb17f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 07:10:48.430000+01:00,2025-05-19 06:57:20.430000+01:00,productive,UPTIME,808.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 06:57:20.430000+01:00
Mill 1,682acb905d87eb9853aeb454,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 07:22:26.430000+01:00,2025-05-19 07:10:48.430000+01:00,productive,DOWNTIME,698.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 07:10:48.430000+01:00
Mill 1,682ace4e5d87eb9853aeb67a,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 08:00:18.430000+01:00,2025-05-19 07:22:26.430000+01:00,productive,UPTIME,2272.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 07:22:26.430000+01:00
Mill 1,682ad7335d87eb9853aec022,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 08:09:32.430000+01:00,2025-05-19 08:00:18.430000+01:00,productive,DOWNTIME,554.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 08:00:18.430000+01:00
Mill 1,682ad9695d87eb9853aec24f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 08:50:24.430000+01:00,2025-05-19 08:09:32.430000+01:00,productive,UPTIME,2452.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 08:09:32.430000+01:00
Mill 1,682ae3025d87eb9853aecb73,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 08:51:29.430000+01:00,2025-05-19 08:50:24.430000+01:00,unproductive,DOWNTIME,65.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 08:50:24.430000+01:00
Mill 1,682ae3345d87eb9853aecb99,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 08:54:47.430000+01:00,2025-05-19 08:51:29.430000+01:00,productive,UPTIME,198.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 08:51:29.430000+01:00
Mill 1,682ae3ed5d87eb9853aecc7b,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 09:04:11.430000+01:00,2025-05-19 08:54:47.430000+01:00,productive,DOWNTIME,564.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 08:54:47.430000+01:00
Mill 1,682ae6415d87eb9853aecef6,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 09:47:44.430000+01:00,2025-05-19 09:04:11.430000+01:00,productive,UPTIME,2613.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 09:04:11.430000+01:00
Mill 1,682af06f5d87eb9853aedd7b,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 10:00:57.430000+01:00,2025-05-19 09:47:44.430000+01:00,productive,DOWNTIME,793.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 09:47:44.430000+01:00
Mill 1,682af3815d87eb9853aee04b,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 10:09:52.430000+01:00,2025-05-19 10:00:57.430000+01:00,productive,UPTIME,535.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 10:00:57.430000+01:00
Mill 1,682af5955d87eb9853aee229,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 10:12:50.430000+01:00,2025-05-19 10:09:52.430000+01:00,unproductive,DOWNTIME,178.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 10:09:52.430000+01:00
Mill 1,682af6575d87eb9853aee2aa,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 10:49:27.430000+01:00,2025-05-19 10:12:50.430000+01:00,productive,UPTIME,2197.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 10:12:50.430000+01:00
Mill 1,682afed55d87eb9853aeed7e,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 11:00:44.430000+01:00,2025-05-19 10:49:27.430000+01:00,productive,DOWNTIME,677.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 10:49:27.430000+01:00
Mill 1,682b01925d87eb9853aef13a,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 11:20:55.430000+01:00,2025-05-19 11:00:44.430000+01:00,productive,UPTIME,1211.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 11:00:44.430000+01:00
Mill 1,682b063c5d87eb9853aef5da,6809f67ffc54c40ff1b489cf,Stamp Change,2025-05-19 11:23:50.430000+01:00,2025-05-19 11:20:55.430000+01:00,,DOWNTIME,175.0,DAY,MONDAY, DOWNTIME,2025-05-19 11:20:55.430000+01:00
Mill 1,682b07005d87eb9853aef686,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 11:25:25.430000+01:00,2025-05-19 11:23:50.430000+01:00,productive,UPTIME,95.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 11:23:50.430000+01:00
Mill 1,682b074f5d87eb9853aef75d,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 11:25:36.430000+01:00,2025-05-19 11:25:25.430000+01:00,productive,DOWNTIME,11.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 11:25:25.430000+01:00
Mill 1,682b074f5d87eb9853aef75e,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 11:48:41.430000+01:00,2025-05-19 11:25:36.430000+01:00,productive,UPTIME,1385.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 11:25:36.430000+01:00
Mill 1,682b0cb65d87eb9853aefe03,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 11:55:21.430000+01:00,2025-05-19 11:48:41.430000+01:00,productive,DOWNTIME,400.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 11:48:41.430000+01:00
Mill 1,682b0e5a5d87eb9853af00b1,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 12:00:38.430000+01:00,2025-05-19 11:55:21.430000+01:00,productive,UPTIME,317.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 11:55:21.430000+01:00
Mill 1,682b0f8b5d87eb9853af027c,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 12:06:04.430000+01:00,2025-05-19 12:00:38.430000+01:00,unproductive,DOWNTIME,326.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 12:00:38.430000+01:00
Mill 1,682b10df5d87eb9853af046b,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 12:20:59.430000+01:00,2025-05-19 12:06:04.430000+01:00,productive,UPTIME,895.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 12:06:04.430000+01:00
Mill 1,682b144e5d87eb9853af07c2,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 12:23:37.430000+01:00,2025-05-19 12:20:59.430000+01:00,unproductive,DOWNTIME,158.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 12:20:59.430000+01:00
Mill 1,682b14f75d87eb9853af0818,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 12:32:45.430000+01:00,2025-05-19 12:23:37.430000+01:00,productive,UPTIME,548.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 12:23:37.430000+01:00
Mill 1,682b17165d87eb9853af09bc,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 13:01:59.430000+01:00,2025-05-19 12:32:45.430000+01:00,unproductive,DOWNTIME,1754.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 12:32:45.430000+01:00
Mill 1,682b1dec5d87eb9853af0f40,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 13:19:33.430000+01:00,2025-05-19 13:01:59.430000+01:00,productive,UPTIME,1054.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 13:01:59.430000+01:00
Mill 1,682b22155d87eb9853af1466,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 13:29:58.430000+01:00,2025-05-19 13:19:33.430000+01:00,productive,DOWNTIME,625.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 13:19:33.430000+01:00
Mill 1,682b24745d87eb9853af17c3,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 14:08:34.430000+01:00,2025-05-19 13:29:58.430000+01:00,productive,UPTIME,2316.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 13:29:58.430000+01:00
Mill 1,682b2d975d87eb9853af21e1,6809f67ffc54c40ff1b489cf,Tool Change,2025-05-19 14:14:47.430000+01:00,2025-05-19 14:08:34.430000+01:00,,DOWNTIME,373.0,DAY,MONDAY, DOWNTIME,2025-05-19 14:08:34.430000+01:00
Mill 1,682b2ef25d87eb9853af2340,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 14:16:04.430000+01:00,2025-05-19 14:14:47.430000+01:00,productive,UPTIME,77.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 14:14:47.430000+01:00
Mill 1,682b2f415d87eb9853af23a7,6809f67ffc54c40ff1b489cf,Tool Change,2025-05-19 15:10:22.430000+01:00,2025-05-19 14:16:04.430000+01:00,,DOWNTIME,3258.0,DAY,MONDAY, DOWNTIME,2025-05-19 14:16:04.430000+01:00
Mill 1,682b3c095d87eb9853af33a1,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:11:10.430000+01:00,2025-05-19 15:10:22.430000+01:00,productive,UPTIME,48.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 15:10:22.430000+01:00
Mill 1,682b3c415d87eb9853af33de,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:11:25.430000+01:00,2025-05-19 15:11:10.430000+01:00,productive,DOWNTIME,15.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 15:11:10.430000+01:00
Mill 1,682b3c415d87eb9853af33df,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:17:48.430000+01:00,2025-05-19 15:11:25.430000+01:00,productive,UPTIME,383.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 15:11:25.430000+01:00
Mill 1,682b3dbe5d87eb9853af35db,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 15:30:02.430000+01:00,2025-05-19 15:17:48.430000+01:00,productive,DOWNTIME,734.0,DAY,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 15:17:48.430000+01:00
Mill 1,682b40a45d87eb9853af38ec,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:31:28.430000+01:00,2025-05-19 15:30:02.430000+01:00,productive,UPTIME,86.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 15:30:02.430000+01:00
Mill 1,682b40fb5d87eb9853af3910,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 15:35:41.430000+01:00,2025-05-19 15:31:28.430000+01:00,unproductive,DOWNTIME,253.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 15:31:28.430000+01:00
Mill 1,682b42055d87eb9853af3a02,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:36:11.430000+01:00,2025-05-19 15:35:41.430000+01:00,productive,UPTIME,30.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 15:35:41.430000+01:00
Mill 1,682b42245d87eb9853af3a18,6809f67ffc54c40ff1b489cf,Lubrication Issue,2025-05-19 15:39:24.430000+01:00,2025-05-19 15:36:11.430000+01:00,unproductive,DOWNTIME,193.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 15:36:11.430000+01:00
Mill 1,682b42cf5d87eb9853af3a7e,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 15:49:45.430000+01:00,2025-05-19 15:39:24.430000+01:00,productive,UPTIME,621.0,DAY,MONDAY,PRODUCTIVE UPTIME,2025-05-19 15:39:24.430000+01:00
Mill 1,682b45445d87eb9853af3e96,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 16:00:00+01:00,2025-05-19 15:49:45.430000+01:00,unproductive,DOWNTIME,614.57,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 15:49:45.430000+01:00
Mill 1,682b47b05d87eb9853af4243,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-19 18:00:00+01:00,2025-05-19 16:00:00+01:00,unproductive,DOWNTIME,7200.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 16:00:00+01:00
Mill 1,682b63d75d87eb9853af5f37,6809f67ffc54c40ff1b489cf,Lubrication Issue,2025-05-19 18:08:51.430000+01:00,2025-05-19 18:00:00+01:00,unproductive,DOWNTIME,531.43,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 18:00:00+01:00
Mill 1,682b65d95d87eb9853af60b3,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:09:37.430000+01:00,2025-05-19 18:08:51.430000+01:00,productive,UPTIME,46.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:08:51.430000+01:00
Mill 1,682b660b5d87eb9853af60fb,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:09:46.430000+01:00,2025-05-19 18:09:37.430000+01:00,productive,DOWNTIME,9.0,NIGHT,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 18:09:37.430000+01:00
Mill 1,682b660b5d87eb9853af60fc,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:12:27.430000+01:00,2025-05-19 18:09:46.430000+01:00,productive,UPTIME,161.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:09:46.430000+01:00
Mill 1,682b66b85d87eb9853af614c,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 18:14:49.430000+01:00,2025-05-19 18:12:27.430000+01:00,unproductive,DOWNTIME,142.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 18:12:27.430000+01:00
Mill 1,682b67465d87eb9853af61b8,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:15:16.430000+01:00,2025-05-19 18:14:49.430000+01:00,productive,UPTIME,27.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:14:49.430000+01:00
Mill 1,682b675e5d87eb9853af61c2,6809f67ffc54c40ff1b489cf,Set Up,2025-05-19 18:17:12.430000+01:00,2025-05-19 18:15:16.430000+01:00,,DOWNTIME,116.0,NIGHT,MONDAY, DOWNTIME,2025-05-19 18:15:16.430000+01:00
Mill 1,682b67e55d87eb9853af61df,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:18:05.430000+01:00,2025-05-19 18:17:12.430000+01:00,productive,UPTIME,53.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:17:12.430000+01:00
Mill 1,682b68005d87eb9853af61e3,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 18:20:04.430000+01:00,2025-05-19 18:18:05.430000+01:00,unproductive,DOWNTIME,119.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 18:18:05.430000+01:00
Mill 1,682b68795d87eb9853af6249,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:21:41.430000+01:00,2025-05-19 18:20:04.430000+01:00,productive,UPTIME,97.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:20:04.430000+01:00
Mill 1,682b68e45d87eb9853af6256,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 18:24:07.430000+01:00,2025-05-19 18:21:41.430000+01:00,unproductive,DOWNTIME,146.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 18:21:41.430000+01:00
Mill 1,682b697e5d87eb9853af62ca,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:25:09.430000+01:00,2025-05-19 18:24:07.430000+01:00,productive,UPTIME,62.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:24:07.430000+01:00
Mill 1,682b69b75d87eb9853af6333,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:25:38.430000+01:00,2025-05-19 18:25:09.430000+01:00,productive,DOWNTIME,29.0,NIGHT,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 18:25:09.430000+01:00
Mill 1,682b69d75d87eb9853af634d,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:28:19.430000+01:00,2025-05-19 18:25:38.430000+01:00,productive,UPTIME,161.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:25:38.430000+01:00
Mill 1,682b6a805d87eb9853af63ce,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 18:34:40.430000+01:00,2025-05-19 18:28:19.430000+01:00,unproductive,DOWNTIME,381.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 18:28:19.430000+01:00
Mill 1,682b6bf05d87eb9853af65a7,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 18:49:14.430000+01:00,2025-05-19 18:34:40.430000+01:00,productive,UPTIME,874.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:34:40.430000+01:00
Mill 1,682b6f575d87eb9853af693c,6809f67ffc54c40ff1b489cf,change strut pack,2025-05-19 18:50:17.430000+01:00,2025-05-19 18:49:14.430000+01:00,productive,DOWNTIME,63.0,NIGHT,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 18:49:14.430000+01:00
Mill 1,682b6f905d87eb9853af69a6,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 19:04:11.430000+01:00,2025-05-19 18:50:17.430000+01:00,productive,UPTIME,834.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 18:50:17.430000+01:00
Mill 1,682b72db5d87eb9853af6ea9,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 19:11:32.430000+01:00,2025-05-19 19:04:11.430000+01:00,productive,DOWNTIME,441.0,NIGHT,MONDAY,PRODUCTIVE DOWNTIME,2025-05-19 19:04:11.430000+01:00
Mill 1,682b74845d87eb9853af6fd2,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 19:19:22.430000+01:00,2025-05-19 19:11:32.430000+01:00,productive,UPTIME,470.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 19:11:32.430000+01:00
Mill 1,682b76715d87eb9853af7201,6809f67ffc54c40ff1b489cf,Unplanned Maintenance,2025-05-19 19:19:56.430000+01:00,2025-05-19 19:19:22.430000+01:00,unproductive,DOWNTIME,34.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 19:19:22.430000+01:00
Mill 1,682b76925d87eb9853af7239,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 19:37:25.430000+01:00,2025-05-19 19:19:56.430000+01:00,productive,UPTIME,1049.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 19:19:56.430000+01:00
Mill 1,682b7aa45d87eb9853af7615,6809f67ffc54c40ff1b489cf,Lubrication Issue,2025-05-19 19:42:19.430000+01:00,2025-05-19 19:37:25.430000+01:00,unproductive,DOWNTIME,294.0,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME,2025-05-19 19:37:25.430000+01:00
Mill 1,682b7bcb5d87eb9853af76e0,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 20:04:39.430000+01:00,2025-05-19 19:42:19.430000+01:00,productive,UPTIME,1340.0,NIGHT,MONDAY,PRODUCTIVE UPTIME,2025-05-19 19:42:19.430000+01:00
